Year,Age Group,Sex,"Death Rate Per 100,000"
2000,0-6 days,Both,145956.20
2000,7-27 days,Male,36914.40
2000,7-27 days,Female,28855.10
2000,7-27 days,Both,32986.10
2000,28-364 days,Male,6734.30
2000,28-364 days,Female,6040.90
2000,28-364 days,Both,6396.20
2000,1-4 years,Male,1408.30
2000,1-4 years,Female,1308.10
2000,1-4 years,Both,1359.50
2000,5-9 years,Male,183.30
2000,5-9 years,Female,145.40
2000,5-9 years,Both,165.00
2000,10-14 years,Male,148.80
2000,10-14 years,Female,212.70
2000,10-14 years,Both,179.60
2000,15-19 years,Male,269.60
2000,15-19 years,Female,332.70
2000,15-19 years,Both,299.90
2000,20-24 years,Male,388.10
2000,20-24 years,Female,483.10
2000,20-24 years,Both,433.60
2000,25-29 years,Male,422.30
2000,25-29 years,Female,632.80
2000,25-29 years,Both,522.90
2000,30-34 years,Male,504.30
2000,30-34 years,Female,757.30
2000,30-34 years,Both,624.80
2000,35-39 years,Male,712.50
2000,35-39 years,Female,1300.00
2000,35-39 years,Both,991.70
2000,40-44 years,Male,973.60
2000,40-44 years,Female,1323.80
2000,40-44 years,Both,1139.80
2000,45-49 years,Male,1418.10
2000,45-49 years,Female,1573.60
2000,45-49 years,Both,1492.10
2000,50-54 years,Male,2116.70
2000,50-54 years,Female,2164.70
2000,50-54 years,Both,2139.80
2000,55-59 years,Male,2985.70
2000,55-59 years,Female,2886.80
2000,55-59 years,Both,2937.60
2000,60-64 years,Male,4335.70
2000,60-64 years,Female,4783.50
2000,60-64 years,Both,4556.80
2000,65-69 years,Male,5983.10
2000,65-69 years,Female,6958.20
2000,65-69 years,Both,6473.70
2000,70-74 years,Male,8625.10
2000,70-74 years,Female,10857.40
2000,70-74 years,Both,9775.30
2000,75-79 years,Male,12151.80
2000,75-79 years,Female,15288.70
2000,75-79 years,Both,13811.10
2000,80+ years,Male,18936.50
2000,80+ years,Female,22266.20
2000,80+ years,Both,20771.40
2000,All ages,Male,1412.90
2000,All ages,Female,1480.40
2000,All ages,Both,1445.40
2010,0-6 days,Male,127190.90
2010,0-6 days,Female,93233.30
2010,0-6 days,Both,110681.50
2010,7-27 days,Male,19244.20
2010,7-27 days,Female,15557.20
2010,7-27 days,Both,17448.20
2010,28-364 days,Male,3632.40
2010,28-364 days,Female,3361.70
2010,28-364 days,Both,3500.50
2010,1-4 years,Male,575.90
2010,1-4 years,Female,533.00
2010,1-4 years,Both,555.00
2010,5-9 years,Male,111.40
2010,5-9 years,Female,88.90
2010,5-9 years,Both,100.50
2010,10-14 years,Male,104.00
2010,10-14 years,Female,143.90
2010,10-14 years,Both,123.30
2010,15-19 years,Male,224.60
2010,15-19 years,Female,256.30
2010,15-19 years,Both,239.90
2010,20-24 years,Male,328.90
2010,20-24 years,Female,353.10
2010,20-24 years,Both,340.50
2010,25-29 years,Male,355.60
2010,25-29 years,Female,453.00
2010,25-29 years,Both,402.20
2010,30-34 years,Male,423.20
2010,30-34 years,Female,556.30
2010,30-34 years,Both,486.80
2010,35-39 years,Male,606.50
2010,35-39 years,Female,1005.00
2010,35-39 years,Both,796.50
2010,40-44 years,Male,828.70
2010,40-44 years,Female,1065.20
2010,40-44 years,Both,941.50
2010,45-49 years,Male,1207.70
2010,45-49 years,Female,1300.70
2010,45-49 years,Both,1252.20
2010,50-54 years,Male,1810.40
2010,50-54 years,Female,1812.20
2010,50-54 years,Both,1811.30
2010,55-59 years,Male,2588.40
2010,55-59 years,Female,2448.60
2010,55-59 years,Both,2520.50
2010,60-64 years,Male,3768.00
2010,60-64 years,Female,3926.10
2010,60-64 years,Both,3845.90
2010,65-69 years,Male,5291.90
2010,65-69 years,Female,5805.00
2010,65-69 years,Both,5549.50
2010,70-74 years,Male,7716.70
2010,70-74 years,Female,9206.80
2010,70-74 years,Both,8480.80
2010,75-79 years,Male,11021.70
2010,75-79 years,Female,13286.30
2010,75-79 years,Both,12212.90
2010,80+ years,Male,17636.80
2010,80+ years,Female,20370.10
2010,80+ years,Both,19142.40
2010,All ages,Male,917.50
2010,All ages,Female,977.00
2010,All ages,Both,946.30
1970,0-6 days,Male,188835.70
1970,0-6 days,Female,154472.80
1970,0-6 days,Both,171894.10
1970,7-27 days,Male,54620.70
1970,7-27 days,Female,46604.10
1970,7-27 days,Both,50666.40
1970,28-364 days,Male,10444.30
1970,28-364 days,Female,8777.90
1970,28-364 days,Both,9621.60
1970,1-4 years,Male,5831.50
1970,1-4 years,Female,4415.90
1970,1-4 years,Both,5125.10
1970,5-9 years,Male,426.60
1970,5-9 years,Female,328.70
1970,5-9 years,Both,377.20
1970,10-14 years,Male,316.00
1970,10-14 years,Female,203.10
1970,10-14 years,Both,258.90
1970,15-19 years,Male,442.10
1970,15-19 years,Female,268.70
1970,15-19 years,Both,354.30
1970,20-24 years,Male,686.70
1970,20-24 years,Female,410.60
1970,20-24 years,Both,547.40
1970,25-29 years,Male,788.00
1970,25-29 years,Female,505.60
1970,25-29 years,Both,644.70
1970,30-34 years,Male,933.20
1970,30-34 years,Female,585.80
1970,30-34 years,Both,756.40
1970,35-39 years,Male,1287.60
1970,35-39 years,Female,738.80
1970,35-39 years,Both,1008.00
1970,40-44 years,Male,1647.90
1970,40-44 years,Female,806.90
1970,40-44 years,Both,1217.40
1970,45-49 years,Male,2184.80
1970,45-49 years,Female,974.10
1970,45-49 years,Both,1559.70
1970,50-54 years,Male,2965.90
1970,50-54 years,Female,1356.80
1970,50-54 years,Both,2124.30
1970,55-59 years,Male,3786.00
1970,55-59 years,Female,1794.20
1970,55-59 years,Both,2726.10
1970,60-64 years,Male,5602.40
1970,60-64 years,Female,2935.80
1970,60-64 years,Both,4154.70
1970,65-69 years,Male,7073.40
1970,65-69 years,Female,4255.30
1970,65-69 years,Both,5514.40
1970,70-74 years,Male,9493.60
1970,70-74 years,Female,6333.70
1970,70-74 years,Both,7696.90
1970,75-79 years,Male,12174.90
1970,75-79 years,Female,8811.10
1970,75-79 years,Both,10203.80
1970,80+ years,Male,17062.50
1970,80+ years,Female,13774.90
1970,80+ years,Both,14992.40
1970,All ages,Male,2718.80
1970,All ages,Female,1937.00
1970,All ages,Both,2321.30
1980,0-6 days,Male,164960.70
1980,0-6 days,Female,137010.50
1980,0-6 days,Both,151163.10
1980,7-27 days,Male,46196.80
1980,7-27 days,Female,40647.80
1980,7-27 days,Both,43460.50
1980,28-364 days,Male,9174.30
1980,28-364 days,Female,7647.60
1980,28-364 days,Both,8420.80
1980,1-4 years,Male,4973.90
1980,1-4 years,Female,3773.90
1980,1-4 years,Both,4376.30
1980,5-9 years,Male,358.70
1980,5-9 years,Female,283.80
1980,5-9 years,Both,321.00
1980,10-14 years,Male,275.50
1980,10-14 years,Female,187.10
1980,10-14 years,Both,231.00
1980,15-19 years,Male,410.20
1980,15-19 years,Female,257.40
1980,15-19 years,Both,333.10
1980,20-24 years,Male,642.20
1980,20-24 years,Female,391.20
1980,20-24 years,Both,515.00
1980,25-29 years,Male,737.00
1980,25-29 years,Female,481.50
1980,25-29 years,Both,606.60
1980,30-34 years,Male,873.10
1980,30-34 years,Female,560.90
1980,30-34 years,Both,714.30
1980,35-39 years,Male,1208.80
1980,35-39 years,Female,719.70
1980,35-39 years,Both,959.50
1980,40-44 years,Male,1550.50
1980,40-44 years,Female,786.80
1980,40-44 years,Both,1160.10
1980,45-49 years,Male,2061.70
1980,45-49 years,Female,951.50
1980,45-49 years,Both,1490.10
1980,50-54 years,Male,2810.90
1980,50-54 years,Female,1328.70
1980,50-54 years,Both,2037.80
1980,55-59 years,Male,3610.60
1980,55-59 years,Female,1760.60
1980,55-59 years,Both,2631.00
1980,60-64 years,Male,5341.60
1980,60-64 years,Female,2879.90
1980,60-64 years,Both,4016.40
1980,65-69 years,Male,6862.40
1980,65-69 years,Female,4187.20
1980,65-69 years,Both,5394.00
1980,70-74 years,Male,9240.30
1980,70-74 years,Female,6243.80
1980,70-74 years,Both,7554.70
1980,75-79 years,Male,11793.80
1980,75-79 years,Female,8709.50
1980,75-79 years,Both,10002.50
1980,80+ years,Male,16729.00
1980,80+ years,Female,13671.60
1980,80+ years,Both,14827.40
1980,All ages,Male,2412.30
